epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.281,2.88115,4.27729,2.57272,0,0,0,0,3.22327,4.92746,2.93882,0,0,0
2,1.65191,3.18677,4.39528,2.71706,0,0,0,0,3.24302,4.83904,2.9091,1.63399e-05,1.63399e-05,1.63399e-05
3,2.15025,3.46015,4.27553,2.94266,0,0,0,0,3.20986,5.06528,2.81536,3.20197e-05,3.20197e-05,3.20197e-05
4,2.52317,3.26537,4.21689,2.98418,0,0,0,0,3.12504,5.25902,2.74521,4.70394e-05,4.70394e-05,4.70394e-05
5,2.88893,3.02082,4.05927,2.84452,0,0,0,0,2.93356,5.52927,2.66974,6.13989e-05,6.13989e-05,6.13989e-05
6,3.25408,3.32676,4.19292,2.82603,0,0,0,0,2.93176,5.82957,2.68038,7.50984e-05,7.50984e-05,7.50984e-05
7,3.61357,2.74141,4.12866,2.66771,0,0,0,0,3.16947,5.66086,2.82448,8.81376e-05,8.81376e-05,8.81376e-05
8,3.97772,2.67987,4.84102,2.63444,0,0,0,0,3.22626,5.13369,3.02367,0.000100517,0.000100517,0.000100517
9,4.33683,2.82127,4.01884,2.56441,0,0,0,0,2.80312,5.47963,2.95681,0.000112236,0.000112236,0.000112236
10,4.70023,2.38533,3.94105,2.21851,0,0,0,0,2.44136,5.53811,2.9013,0.000123295,0.000123295,0.000123295
11,5.06641,2.27791,3.93624,2.23068,0,0,0,0,2.19106,5.59421,2.8354,0.000133693,0.000133693,0.000133693
12,5.4298,2.82935,4.08947,2.54852,0,0,0,0,2.07882,5.55154,2.78052,0.000143432,0.000143432,0.000143432
13,5.81415,2.29659,4.25078,2.22746,0,0,0,0,2.0531,5.47635,2.75831,0.00015251,0.00015251,0.00015251
14,6.20255,2.37247,4.01069,2.3157,0,0,0,0,2.01553,5.35886,2.69813,0.000160929,0.000160929,0.000160929
