epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.14308,2.53221,4.21061,2.20826,0,0,0,0,3.24027,4.88291,2.938,0,0,0
2,2.16497,2.82007,4.6142,2.34334,0,0,0,0,3.30178,4.88659,2.95005,1.50197e-05,1.50197e-05,1.50197e-05
3,3.14908,2.95738,4.24114,2.43632,0,0,0,0,3.32832,5.19925,2.92109,2.67387e-05,2.67387e-05,2.67387e-05
4,4.06123,2.826,5.10239,2.18427,0,0,0,0,3.26443,5.45818,2.86444,3.5157e-05,3.5157e-05,3.5157e-05
5,5.01408,2.77288,5.06876,2.33713,0,0,0,0,3.12495,5.59463,2.77082,4.02747e-05,4.02747e-05,4.02747e-05
6,6.04927,2.43762,4.26129,2.01581,0,0,0,0,3.0624,5.74219,2.73289,4.20917e-05,4.20917e-05,4.20917e-05
7,7.13583,2.4913,4.82979,2.1542,0,0,0,0,2.95897,5.87379,2.70929,4.06081e-05,4.06081e-05,4.06081e-05
8,8.16936,2.16559,5.21366,1.88928,0,0,0,0,2.9416,5.9585,2.70226,3.58238e-05,3.58238e-05,3.58238e-05
9,9.27124,2.88913,4.60616,2.59617,0,0,0,0,2.84697,6.03163,2.66222,2.77389e-05,2.77389e-05,2.77389e-05
10,10.2151,2.60634,4.95881,2.42864,0,0,0,0,2.838,6.02765,2.66437,1.63533e-05,1.63533e-05,1.63533e-05
