epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.46183,2.88115,4.27729,2.57272,0,0,0,0,3.22327,4.92746,2.93882,0,0,0
2,3.03713,3.18677,4.39528,2.71706,0,0,0,0,3.24323,4.83964,2.90891,1.6505e-05,1.6505e-05,1.6505e-05
3,3.49903,3.45961,4.27577,2.94229,0,0,0,0,3.20876,5.06715,2.81387,3.26799e-05,3.26799e-05,3.26799e-05
4,3.94035,3.26543,4.21701,2.98328,0,0,0,0,3.11922,5.26931,2.74169,4.85247e-05,4.85247e-05,4.85247e-05
5,4.36109,3.01745,4.05557,2.84175,0,0,0,0,2.92518,5.54741,2.66632,6.40395e-05,6.40395e-05,6.40395e-05
6,4.79015,3.33187,4.18694,2.82475,0,0,0,0,2.92425,5.905,2.67823,7.92242e-05,7.92242e-05,7.92242e-05
7,5.22043,2.73424,4.1241,2.65448,0,0,0,0,3.16613,5.62992,2.82693,9.40788e-05,9.40788e-05,9.40788e-05
8,5.64579,2.66227,4.83807,2.61602,0,0,0,0,3.17511,5.17751,3.0057,0.000108603,0.000108603,0.000108603
9,6.0743,2.81009,4.00641,2.55024,0,0,0,0,2.69976,5.4543,2.92689,0.000122798,0.000122798,0.000122798
10,6.50316,2.40489,3.88333,2.17252,0,0,0,0,2.25621,5.66581,2.85745,0.000136662,0.000136662,0.000136662
11,6.94001,2.29045,3.92315,2.24121,0,0,0,0,2.15262,5.46778,2.83172,0.000150197,0.000150197,0.000150197
12,7.37224,2.9313,4.02689,2.56334,0,0,0,0,2.07579,5.41747,2.77948,0.000163401,0.000163401,0.000163401
13,7.80913,2.30585,4.1339,2.213,0,0,0,0,2.001,5.11157,2.78024,0.000176275,0.000176275,0.000176275
14,8.23836,2.58344,3.88572,2.35476,0,0,0,0,1.91624,4.91913,2.6889,0.000188819,0.000188819,0.000188819
15,8.67612,2.23344,4.75686,2.65035,0,0,0,0,1.8114,4.90475,2.59347,0.000201034,0.000201034,0.000201034
16,9.11275,2.46179,3.87534,2.29074,0.00559,1,0.0085,0.0017,1.96833,4.82934,2.53198,0.000212918,0.000212918,0.000212918
17,9.55188,3.23115,3.96587,2.6131,0.00559,1,0.00873,0.00087,2.01753,4.94376,2.73427,0.000224472,0.000224472,0.000224472
18,9.97022,2.08721,3.71521,2.02124,0.00559,1,0.00873,0.00087,2.01753,4.94376,2.73427,0.000235695,0.000235695,0.000235695
19,10.3946,2.92991,4.46367,2.31198,0.00549,1,0.00809,0.00162,2.27304,4.96591,2.82844,0.000246589,0.000246589,0.000246589
20,10.8163,2.73986,3.55843,2.52627,0.00549,1,0.00809,0.00162,2.27304,4.96591,2.82844,0.000257153,0.000257153,0.000257153
21,11.3811,2.28066,3.49048,1.89863,0.00549,1,0.00985,0.00296,2.2373,4.8,2.73756,0.000267387,0.000267387,0.000267387
22,11.8166,2.38852,4.99546,2.26078,0.00549,1,0.00985,0.00296,2.2373,4.8,2.73756,0.00027729,0.00027729,0.00027729
23,12.2937,2.25412,3.7536,2.06752,0.00571,1,0.01059,0.00318,1.96757,4.73568,2.50161,0.000286864,0.000286864,0.000286864
24,12.7539,2.33204,3.40137,1.86708,0.00571,1,0.01059,0.00318,1.96757,4.73568,2.50161,0.000296108,0.000296108,0.000296108
25,13.2102,2.38674,3.96554,2.09557,0.00546,1,0.01442,0.00865,1.67123,4.56212,2.05593,0.000305021,0.000305021,0.000305021
26,13.6465,2.40778,3.68463,2.11933,0.00546,1,0.01442,0.00865,1.67123,4.56212,2.05593,0.000313604,0.000313604,0.000313604
27,14.103,2.24829,3.30362,2.0302,0.00546,1,0.01463,0.00878,1.70352,4.40324,1.93111,0.000321858,0.000321858,0.000321858
28,14.5355,2.00196,3.92575,2.0272,0.00546,1,0.01463,0.00878,1.70352,4.40324,1.93111,0.000329781,0.000329781,0.000329781
29,14.9726,2.53656,3.45729,2.07064,0.00581,1,0.01382,0.00553,1.3127,4.46295,1.88503,0.000337374,0.000337374,0.000337374
30,15.4113,1.80202,3.26409,1.74087,0.00581,1,0.01382,0.00553,1.3127,4.46295,1.88503,0.000344637,0.000344637,0.000344637
31,15.8521,1.95413,3.26329,1.76225,0.00613,1,0.01309,0.00514,1.05453,4.34027,1.65248,0.00035157,0.00035157,0.00035157
32,16.2651,2.28863,3.43474,1.85252,0.00613,1,0.01309,0.00514,1.05453,4.34027,1.65248,0.000358173,0.000358173,0.000358173
