epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,103.395,2.426,1.79633,1.34963,0.56151,0.30314,0.33007,0.12828,2.50582,1.68102,1.40638,0.00996097,0.00996097,0.00996097
42,105.807,2.21163,1.81297,1.27936,0.33205,0.58549,0.42424,0.13007,2.61293,1.78422,1.50714,0.00995899,0.00995899,0.00995899
43,108.211,2.27839,1.72734,1.28433,0.40444,0.5157,0.42204,0.13492,2.45845,1.61422,1.38301,0.00995697,0.00995697,0.00995697
44,110.701,2.25356,1.77079,1.2089,0.39743,0.58657,0.48276,0.16339,2.51766,1.71513,1.41461,0.0099549,0.0099549,0.0099549
45,113.34,2.30918,1.7554,1.1975,0.35281,0.62273,0.40648,0.13306,2.41223,1.62929,1.35495,0.00995278,0.00995278,0.00995278
46,115.724,2.14809,1.64752,1.304,0.37819,0.53322,0.4814,0.18842,2.38176,1.75242,1.36342,0.00995062,0.00995062,0.00995062
47,118.298,2.1819,1.71512,1.33878,0.46486,0.4898,0.45268,0.15575,2.46617,1.33272,1.42189,0.0099484,0.0099484,0.0099484
48,120.778,2.29424,1.66532,1.22365,0.38371,0.51406,0.45176,0.15448,2.29745,1.39439,1.32107,0.00994614,0.00994614,0.00994614
49,123.165,2.09897,1.53877,1.25761,0.5278,0.53487,0.57194,0.15709,2.30494,1.30717,1.32595,0.00994383,0.00994383,0.00994383
50,125.554,2.19559,1.51071,1.29102,0.32692,0.52126,0.43272,0.15346,2.45824,1.33492,1.41604,0.00994147,0.00994147,0.00994147
51,127.93,2.23819,1.54892,1.31825,0.24115,0.55153,0.3466,0.14544,2.28392,1.36752,1.32344,0.00993906,0.00993906,0.00993906
52,130.338,2.30498,1.59923,1.30616,0.40215,0.61697,0.45982,0.14669,2.81977,1.39903,1.64968,0.0099366,0.0099366,0.0099366
53,132.714,2.15348,1.54579,1.33252,0.24671,0.50486,0.34567,0.13497,2.75501,1.46606,1.60192,0.0099341,0.0099341,0.0099341
54,135.123,2.26669,1.44864,1.29727,0.3209,0.52655,0.40257,0.15617,2.53285,1.3636,1.44915,0.00993154,0.00993154,0.00993154
55,137.642,2.14445,1.47498,1.28823,0.35266,0.67181,0.4697,0.16869,2.44488,1.35365,1.41441,0.00992894,0.00992894,0.00992894
56,140.093,2.24155,1.59596,1.28408,0.41825,0.50466,0.49364,0.15652,2.48839,1.38099,1.41192,0.00992629,0.00992629,0.00992629
57,142.66,2.17611,1.41072,1.24042,0.39962,0.59066,0.54275,0.18525,2.30639,1.41438,1.332,0.00992359,0.00992359,0.00992359
