epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.40533,3.15394,5.05901,2.86989,0,0,0,0,3.27548,4.87689,2.95986,0,0,0
2,3.00402,2.9896,4.87546,2.6803,0,0,0,0,3.30405,4.8642,2.94824,1.50197e-05,1.50197e-05,1.50197e-05
3,3.49603,3.11079,5.03493,2.58989,0,0,0,0,3.30158,4.92456,2.8982,2.67387e-05,2.67387e-05,2.67387e-05
4,3.94718,3.41008,4.95843,2.94774,0,0,0,0,3.26635,4.91682,2.85481,3.5157e-05,3.5157e-05,3.5157e-05
5,4.38501,3.13887,5.4085,2.62321,0,0,0,0,3.20399,4.86311,2.8361,4.02747e-05,4.02747e-05,4.02747e-05
6,4.86039,3.13168,4.53383,2.79864,0,0,0,0,3.08819,5.01654,2.80577,4.20917e-05,4.20917e-05,4.20917e-05
7,5.30259,2.72028,4.60375,2.70116,0,0,0,0,3.03717,4.97011,2.78205,4.06081e-05,4.06081e-05,4.06081e-05
8,5.74148,3.29933,4.69881,2.64648,0,0,0,0,2.93062,5.07369,2.7629,3.58238e-05,3.58238e-05,3.58238e-05
9,6.18573,2.69714,4.58934,2.54666,0,0,0,0,2.8831,5.06893,2.77122,2.77389e-05,2.77389e-05,2.77389e-05
10,6.6576,2.41122,4.19337,2.40573,0,0,0,0,2.84484,5.13516,2.76173,1.63533e-05,1.63533e-05,1.63533e-05
