epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.36492,2.88115,4.27729,2.57272,0,0,0,0,3.22327,4.92746,2.93882,0,0,0
2,1.81986,3.18677,4.39528,2.71706,0,0,0,0,3.24302,4.83904,2.9091,1.63399e-05,1.63399e-05,1.63399e-05
3,2.16413,3.46015,4.27553,2.94266,0,0,0,0,3.20986,5.06528,2.81536,3.20197e-05,3.20197e-05,3.20197e-05
4,2.48557,3.26537,4.21689,2.98418,0,0,0,0,3.12504,5.25902,2.74521,4.70394e-05,4.70394e-05,4.70394e-05
5,2.80476,3.02082,4.05927,2.84452,0,0,0,0,2.93356,5.52927,2.66974,6.13989e-05,6.13989e-05,6.13989e-05
6,3.13866,3.32676,4.19292,2.82603,0,0,0,0,2.93176,5.82957,2.68038,7.50984e-05,7.50984e-05,7.50984e-05
